file,dim,bandwidth,profile,rcm_bandwidth,rcm_profile
lp_maros_r7,3136,287,855518,439,862488
lp_brandy,220,192,13907,111,6853
lp_scsd6,147,29,2631,33,2621
lpi_cplex2,224,223,19474,175,16272
lp_fit2p,3000,2999,4498500,2999,4498500
lp_sc50b,50,11,321,11,305
lpi_greenbea,2393,2364,971276,1499,965473
lpi_itest6,11,9,41,5,21
lp_vtp_base,198,192,18251,126,13819
lp_scsd8,397,19,5512,22,5538
lp_cre_d,397,***,***,***,***
lpi_chemcom,288,177,24009,78,13858
lpi_pang,361,350,55911,180,24413
lpi_gran,2658,***,***,***,***
lp_sc50a,50,11,302,11,287
lp_standata,359,331,40400,216,19292
lp_scfxm2,660,98,25369,121,22469
lp_pilot,1441,1392,712630,1004,543986
lp_stocfor2,2157,1103,708520,388,391354
lp_fit1p,627,626,196251,626,196251
lp_bnl2,2324,523,451439,311,315505
lp_capri,271,269,21274,117,12734
lp_standgub,361,331,40400,216,19292
lpi_pilot4i,410,390,36916,148,29760
lpi_refinery,323,224,32752,98,11311
lp_adlittle,56,54,1163,38,682
lp_perold,625,523,49351,286,79582
lp_stocfor3,625,***,***,***,***
lp_greenbeb,2392,2363,969955,1498,963701
lp_bandm,305,294,36481,147,13249
lp_qap12,305,---,---,---,---
lpi_reactor,318,277,18795,102,14950
lpi_klein2,318,---,---,---,---
lp_cre_a,3516,3463,5447345,2697,3399269
lp_greenbea,2392,2363,969955,1498,963701
lp_pilot87,2030,1964,1163712,1149,1012337
lp_e226,223,216,11905,117,8684
lp_degen2,223,---,---,---,---
lp_etamacro,400,360,73481,211,34001
lp_scfxm3,990,98,38255,121,34508
lp_kb2,43,***,***,***,***
lpi_forest6,66,12,605,15,344
lp_woodw,1098,1092,200429,414,219706
lp_ken_13,1098,***,***,***,***
lpi_klein1,1098,---,---,---,---
lpi_cplex1,3005,2001,3006510,1504,2259505
lp_pilotnov,975,911,140857,474,175611
lp_bnl1,643,309,60830,180,44644
lp_cre_c,3068,3039,4038247,1988,2003402
lpi_mondou2,3068,---,---,---,---
lpi_itest2,9,8,26,5,25
lp_fffff800,524,521,117790,396,88491
lpi_woodinfe,524,---,---,---,---
lp_sctap1,524,---,---,---,---
lp_ship12s,1151,1068,531126,509,86461
lp_grow15,300,20,5790,20,5790
lp_share1b,117,113,2992,54,2687
lp_pds_10,117,***,***,***,***
lp_ship04l,402,349,59853,246,22532
lpi_vol1,323,224,32712,130,14855
lp_osa_14,323,---,---,---,---
lp_ship08l,778,695,240140,574,93419
lpi_bgindy,2671,2651,1192876,2125,2497232
lp_agg,488,463,83962,256,48170
lp_scorpion,388,116,7565,103,12543
lpi_box1,388,---,---,---,---
lp_sctap2,388,---,---,---,---
lp_stair,356,85,13722,71,16423
lpi_ceria3d,356,---,---,---,---
lp_czprob,929,925,427000,614,163489
lp_pds_06,929,---,---,---,---
lp_qap8,929,---,---,---,---
lp_israel,174,173,13741,136,11623
lp_truss,1000,523,272073,68,45582
lpi_qual,323,224,32712,130,14855
lp_25fv47,821,798,205309,430,116725
lp_osa_60,821,***,***,***,***
lp_cycle,1903,1852,260895,938,487283
lp_wood1p,244,242,29404,242,29404
lp_sctap3,244,---,---,---,---
lp_pilot_we,722,627,43339,260,75754
lpi_ex73a,722,---,---,---,---
lp_fit1d,24,***,***,***,***
lp_shell,24,---,---,---,---
lp_scagr25,471,23,4488,21,4728
lp_ganges,1309,1212,433980,212,84281
lp_osa_30,1309,***,***,***,***
lp_beaconfd,173,138,9786,123,5274
lp_gfrd_pnc,616,536,33676,51,12271
lp_lotfi,153,148,7452,92,6851
lp_ken_11,153,---,---,---,---
lp_scagr7,129,23,1158,21,1110
lp_sc205,205,12,1413,12,1633
lp_finnis,497,488,99038,209,40703
lp_pds_02,497,---,---,---,---
lp_cre_b,497,***,***,***,***
lp_dfl001,6071,6062,15023986,3375,7638536
lp_recipe,91,46,1293,57,1245
lpi_bgdbg1,348,307,49645,116,9329
lp_grow22,440,20,8590,20,8590
lp_ship08s,778,695,239700,431,52359
lpi_galenet,778,---,---,---,---
lp_agg3,516,511,91182,259,55064
lp_grow7,140,20,2590,20,2590
lp_sierra,140,---,---,---,---
lp_ship04s,402,349,59709,186,14317
lp_degen3,402,---,---,---,---
lp_pilot4,410,390,36916,148,29760
lp_d6cube,410,---,---,---,---
lpi_bgprtr,410,---,---,---,---
lp_blend,74,68,2278,43,1682
lp_scsd1,77,36,1407,37,1402
lp_afiro,27,24,185,11,136
lp_d2q06c,2171,2143,1115889,990,855299
lp_stocfor1,117,32,1650,25,1350
lpi_klein3,117,---,---,---,---
lp_osa_07,1118,1117,87626,763,317625
lp_pilot_ja,940,876,142505,463,180637
lpi_ex72a,940,---,---,---,---
lpi_gosh,3792,3771,5711182,1446,2246478
lp_tuff,333,317,36624,142,20802
lp_ken_18,333,***,***,***,***
lp_80bau3b,2262,2242,1248109,793,517446
lp_ken_07,2262,---,---,---,---
lp_standmps,467,443,83060,315,39055
lp_sc105,105,11,697,12,769
lp_bore3d,233,209,16943,142,7621
lp_qap15,233,---,---,---,---
lp_scfxm1,330,98,12483,108,10160
lp_pds_20,330,***,***,***,***
lp_share2b,96,84,1674,28,1328
lp_agg2,516,511,91182,259,55064
lp_modszk1,687,636,201477,441,97493
lp_fit2d,25,24,300,24,300
lp_maros,846,814,175984,482,151278
lpi_bgetam,400,360,73481,211,34001
lp_scrs8,490,46,13157,51,13547
lp_ship12l,1151,1068,531906,738,201756
