file,dim,bandwidth,profile,rcm_bandwidth,rcm_profile
stormg2-125,1151,***,***,***,***
p0548,1151,---,---,---,---
fxm3_16,1151,***,***,***,***
air05,426,419,87090,383,83170
delf,3170,123,143773,85,136677
p0291,252,239,30966,170,17026
karted,252,***,***,***,***
rosen8,252,---,---,---,---
ts-palko,252,***,***,***,***
ulevimin,252,***,***,***,***
scrs8-2b,1820,1806,1461613,1026,576441
nemscem,651,623,195522,267,40703
stat96v3,651,***,***,***,***
farm,651,---,---,---,---
kleemin,651,---,---,---,---
gen,769,767,291231,734,285763
sctap1-2r,769,***,***,***,***
aa3,825,823,312036,721,295527
stormg2-27,825,***,***,***,***
gas11,459,449,70289,38,6573
p0040,459,---,---,---,---
nemspmm2,2301,2229,2177346,1136,738259
model1,362,181,40235,173,23914
us04,163,162,12996,136,11665
rosen7,163,---,---,---,---
rat,3136,570,1618449,873,1642733
primagaz,3136,---,---,---,---
lp22,3136,---,---,---,---
gams10a,114,55,3019,17,1115
scrs8-2c,1820,1806,1461613,1026,576441
sctap1-2b,1820,---,---,---,---
scagr7-2c,2447,2416,865723,1409,988499
mod2,2447,***,***,***,***
model5,1888,1836,1040258,701,428963
stat96v1,1888,***,***,***,***
rlfdual,1888,***,***,***,***
scsd8-2r,1888,***,***,***,***
nemswrld,1888,---,---,---,---
ge,1888,---,---,---,---
fxm2-16,1888,---,---,---,---
model8,2896,181,456494,264,420635
fxm3_6,2896,---,---,---,---
gen1,769,767,291231,734,285763
cq5,769,---,---,---,---
rosen1,769,---,---,---,---
nemsemm2,769,***,***,***,***
deter2,769,---,---,---,---
air02,50,49,1141,44,1130
t0331-4l,50,---,---,---,---
scagr7-2r,50,***,***,***,***
p010,50,---,---,---,---
scfxm1-2b,50,***,***,***,***
gams30am,354,175,30619,17,3715
dbic1,354,***,***,***,***
progas,1650,1563,1015471,101,63858
stat96v2,1650,***,***,***,***
gen4,1537,1535,1165117,1464,1131470
aa5,801,791,288611,650,261733
p6000,801,---,---,---,---
fxm2-6,1520,1288,90283,480,234800
p05,5090,5080,12917295,1493,3005811
pcb1000,5090,---,---,---,---
nw14,73,68,2267,61,2034
stat96v5,73,---,---,---,---
deter7,73,---,---,---,---
deter4,3235,3189,1714664,1049,2300452
deter6,4255,4149,1303814,599,2109978
dbir2,4255,***,***,***,***
gams30a,354,175,30619,17,3715
aa01,823,812,315697,736,297321
deter5,5103,4997,1869854,719,3060962
de080285,936,143,43959,129,46478
sctap1-2c,936,---,---,---,---
baxter,936,***,***,***,***
qiulp,1192,1125,632022,1168,234856
model2,379,369,41559,261,34858
nsir,379,---,---,---,---
p2756,379,---,---,---,---
nsct,379,***,***,***,***
dano3mip,3202,3200,4851490,2543,4224588
problem,3202,---,---,---,---
stat96v4,3202,---,---,---,---
plddb,3069,32,38452,35,50350
seymourl,3069,---,---,---,---
cr42,905,904,409051,901,408151
co9,905,---,---,---,---
car4,905,***,***,***,***
rosen10,905,---,---,---,---
model4,1337,1134,426572,528,299128
air03,124,122,6392,108,6348
de063155,852,130,38877,124,37902
cq9,852,---,---,---,---
lpl2,852,---,---,---,---
jendrec1,2109,2108,2222867,2101,2222838
aa03,825,823,312036,721,295527
scfxm1-2r,825,***,***,***,***
kl02,71,70,2467,67,2451
aa4,426,419,87090,383,83170
fxm4_6,426,***,***,***,***
model6,2096,2072,1214927,891,630777
r05,5190,5180,13428945,1513,3138486
testbig,5190,***,***,***,***
scagr7-2b,5190,---,---,---,---
south31,5190,***,***,***,***
deter8,3831,3725,1058954,539,1700678
route,3831,***,***,***,***
l9,244,32,6647,54,7587
tp-6,244,***,***,***,***
pcb3000,244,---,---,---,---
dbir1,244,***,***,***,***
rlfddd,244,---,---,---,---
model7,3358,1949,1985973,858,698335
nl,3358,---,---,---,---
deter3,3358,---,---,---,---
deter0,1923,1817,271904,269,404912
rlfprim,1923,***,***,***,***
gen2,1121,1119,620375,1071,604691
scrs8-2r,1121,***,***,***,***
nemsemm1,1121,***,***,***,***
world,1121,***,***,***,***
ch,3700,3601,5700524,1673,1988750
co5,3700,---,---,---,---
air04,823,812,315697,736,297321
p0033,823,---,---,---,---
iprob,3001,3000,4501500,3000,4501500
scsd8-2b,3001,---,---,---,---
large,3001,---,---,---,---
crew1,135,127,8909,132,8964
degme,135,***,***,***,***
model3,1609,938,509081,442,185650
small,677,131,29136,91,22639
pltexpa,677,***,***,***,***
ex3sta1,677,***,***,***,***
nemsafm,334,224,27967,92,4181
zed,116,115,5540,90,4683
model9,2879,2744,438733,1520,1183060
aa6,646,636,191554,535,170205
iiasa,669,465,98700,71,14982
stoch_aircraft,669,---,---,---,---
model10,4400,1470,2076222,1464,2303690
aircraft,4400,---,---,---,---
slptsk,2861,2860,4091224,2857,4088840
air06,825,823,312036,721,295527
df2177,630,618,183981,527,173643
cep1,1521,1517,660552,1299,731496
rosen2,1521,---,---,---,---
gams10am,114,55,3019,17,1115
cari,400,399,79800,399,79800
complex,400,---,---,---,---
deter1,400,---,---,---,---
pf2177,400,---,---,---,---
p0201,400,---,---,---,---
pgp2,400,---,---,---,---
nemspmm1,2372,2314,1164049,1242,1041827
e18,2372,***,***,***,***
stormg2-8,4409,4071,2112904,2120,3513369
gams60am,714,355,126019,17,7615
bas1lp,714,---,---,---,---
sc205-2r,714,***,***,***,***
de063157,936,143,44130,125,47003
p0282,936,---,---,---,---
refine,29,24,345,18,168
scsd8-2c,29,---,---,---,---
l30,29,---,---,---,---
nsic,29,---,---,---,---
lpl3,29,---,---,---,---
