file,dim,bandwidth,profile,rcm_bandwidth,rcm_profile
pds-70,1151,***,***,***,***
spal_004,1151,---,---,---,---
cont1_l,1151,***,***,***,***
fome11,1151,***,***,***,***
pds-40,1151,***,***,***,***
fome12,1151,***,***,***,***
watson_2,1151,***,***,***,***
neos3,1151,***,***,***,***
nug08-3rd,1151,***,***,***,***
pds-50,1151,***,***,***,***
fome20,1151,***,***,***,***
fome21,1151,***,***,***,***
watson_1,1151,***,***,***,***
stormG2_1000,1151,***,***,***,***
cont11_l,1151,***,***,***,***
pds-60,1151,***,***,***,***
rail4284,1151,***,***,***,***
neos1,1151,***,***,***,***
pds-100,1151,***,***,***,***
neos2,1151,***,***,***,***
pds-90,1151,***,***,***,***
pds-80,1151,***,***,***,***
neos,1151,***,***,***,***
rail516,1151,---,---,---,---
fome13,1151,***,***,***,***
sgpf5y6,1151,***,***,***,***
rail2586,1151,***,***,***,***
pds-30,1151,***,***,***,***
rail582,1151,---,---,---,---
rail507,1151,---,---,---,---
