Arquivo,Dimensão,Tempo (s),Lar. Banda,Envelope,Lar. Banda R.,Envelope R.
scagr25.mps,471,{2,353},23,4488,21,4520
agg.mps,488,{2,983},463,83962,304,49286
scrs8.mps,490,{2,778},46,13157,54,13522
finnis.mps,497,{4,473},488,99038,209,40703
seba.mps,515,{4,511},509,98360,345,62762
agg2.mps,516,{3,392},511,91182,302,60102
agg3.mps,516,{3,251},511,91182,302,60102
fffff800.mps,524,{4,562},521,117790,396,88491
shell.mps,536,{4,865},533,97735,263,53749
gfrd-pnc.mps,616,{4,567},536,33676,51,12271
perold.mps,625,{6,266},523,49351,263,74638
fit1p.mps,627,{8,949},626,196251,626,196251
bnl1.mps,643,{4,599},309,60830,238,48467
scfxm2.mps,660,{5,872},98,25369,137,24684
nesm.mps,662,{4,440},534,170527,92,40194
modszk1.mps,687,{9,748},636,201477,504,121101
pilot.we,mps,722,{8.100},627,43339,245,69485
ship08l.mps,778,{11,688},695,240140,574,93419
ship08s.mps,778,{11,761},695,239700,408,57531
25fv47.mps,821,{13,145},798,205309,442,105204
maros.mps,846,{17,612},814,175984,390,128337
czprob.mps,929,{23,525},925,427000,616,36357
pilot.ja,mps,940,{19.024},876,142505,521,192012
pilotnov.mps,975,{19,983},911,140857,508,189080
scfxm3.mps,990,{13,895},98,38255,137,37112
sctap2.mps,1090,{19,934},165,112244,228,64789
woodw.mps,1098,{18,168},1092,200429,429,215547
ship12l.mps,1151,{31,675},1068,531906,739,211734
ship12s.mps,1151,{30,532},1068,531126,603,89471
sierra.mps,1227,{6,771},907,379660,243,55228
ganges.mps,1309,{27,708},1212,433980,267,84705
pilot.mps,1441,{64,894},1392,712630,1028,560945
sctap3.mps,1480,{42,485},228,210245,318,121112
degen3.mps,1503,{76,028},1501,1007045,955,630056
cycle.mps,1903,{108,164},1852,260895,938,487283
stocfor2.mps,2157,{115,166},1103,708520,412,409295
d2q06c.mps,2171,{169,563},2143,1115889,1023,740944
80bau3b.mps,2262,{174,907},2242,1248109,689,432757
bnl2.mps,2324,{62,493},523,451439,394,301611
greenbea.mps,2392,{241,653},2363,969955,1489,1121845
greenbeb.mps,2392,{239,718},2363,969955,1489,1121845
ken-07.mps,2426,{186,973},2410,85092,1020,705838
pds-02.mps,2953,{355,926},2834,616317,1132,1604904
cre-c.mps,3068,{333,631},3039,4038248,2091,897512
cre-a.mps,3516,{840,038},3463,5447345,2803,3868622
dfl001.mps,6071,{3519,281},6062,15023986,2984,7073856
